CSV files for Covid Vaccination Slots project

locker.csv
1.23457E+11	qwertyui
98765432109	poiuytre
5.64738E+11	zxcvbnmm
3.94028E+11	lkjhgfds

n1.csv
SN	Hospital Name  	Age Group	Vaccine           	Type	Slots
1A	Saidhan Health 	15-17 yrs	Covaxin/Covishield	Paid	86
2A	Community Care 	15-17 yrs	Covaxin/Covishield	Paid	48
3A	LifelineMedical	15-17 yrs	Covaxin/Covishield	Paid	17
4A	Jumbo Center   	15-17 yrs	Covaxin/Covishield	Free	49
5A	Fortis Hospital	15-17 yrs	Covaxin/Covishield	Paid	28
6A	Wellness Center	15-17 yrs	Covaxin/Covishield	Paid	12
7A	My Health Care 	15-17 yrs	Covaxin/Covishield	Paid	80
8A	Family Health  	15-17 yrs	Covaxin/Covishield	Paid	1
9A	Apex Hospital  	15-17 yrs	Covaxin/Covishield	Paid	30

n2.csv
SN	Hospital Name  	Age Group	Vaccine           	Type	Slots
1A	Apex Hospital  	15-17 yrs	Covaxin/Covishield	Paid	3
2A	Jumbo Center   	15-17 yrs	Covaxin/Covishield	Free	46
3A	Community Care 	15-17 yrs	Covaxin/Covishield	Paid	61
4A	LifelineMedical	15-17 yrs	Covaxin/Covishield	Paid	62
5A	Fortis Hospital	15-17 yrs	Covaxin/Covishield	Paid	7
6A	Wellness Center	15-17 yrs	Covaxin/Covishield	Paid	8
7A	Family Health  	15-17 yrs	Covaxin/Covishield	Paid	83
8A	My Health Care 	15-17 yrs	Covaxin/Covishield	Paid	88
9A	Saidhan Health 	15-17 yrs	Covaxin/Covishield	Paid	4

n3.csv
SN	Hospital Name  	Age Group	Vaccine           	Type	Slots
1A	Fortis Hospital	15-17 yrs	Covaxin/Covishield	Paid	84
2A	LifelineMedical	15-17 yrs	Covaxin/Covishield	Paid	2
3A	Family Health  	15-17 yrs	Covaxin/Covishield	Paid	11
4A	Saidhan Health 	15-17 yrs	Covaxin/Covishield	Paid	81
5A	Jumbo Center   	15-17 yrs	Covaxin/Covishield	Free	87
6A	My Health Care 	15-17 yrs	Covaxin/Covishield	Paid	31
7A	Apex Hospital  	15-17 yrs	Covaxin/Covishield	Paid	65
8A	Community Care 	15-17 yrs	Covaxin/Covishield	Paid	7
